record,Normal,Dangerous,Transitional
cu01,42.1,57.9,0.0
cu02,96.8,0.0,3.2
cu03,90.6,8.5,0.9
cu04,46.1,53.5,0.4
cu05,82.0,17.2,0.8
cu06,72.5,26.9,0.6
cu07,35.8,64.2,0.0
cu08,67.8,16.2,15.9
cu09,86.4,10.6,2.9
cu10,61.8,36.2,2.0
cu11,72.9,18.1,9.0
cu12,61.1,31.8,7.1
cu13,88.2,7.1,4.7
cu14,96.5,0.0,3.5
cu15,71.1,20.2,8.7
cu16,77.3,22.0,0.7
cu17,90.1,7.6,2.3
cu18,93.1,5.3,1.6
cu19,81.8,14.9,3.4
cu20,46.6,47.8,5.7
cu21,67.4,25.7,6.9
cu22,76.5,20.6,2.9
cu23,76.8,16.2,7.0
cu24,82.0,13.3,4.7
cu25,92.0,6.8,1.2
cu26,67.2,14.5,18.3
cu27,87.7,4.6,7.7
cu28,96.6,2.5,0.9
cu29,74.3,23.9,1.8
cu30,21.3,55.9,22.8
cu31,76.5,2.9,20.6
cu32,90.4,9.3,0.3
cu33,81.8,16.7,1.5
cu34,73.4,5.6,21.0
cu35,92.1,5.0,2.9
