db,record,length_s,n_episodes,unclosed,nan_count,nan_pct,clip_count,total_episode_duration,shock_boundaries,noise_near_episode_ratio,needs_special_handling
CUDB,cu01,508.9,1,False,0,0.0,0,294.7,0,,False
CUDB,cu02,508.9,0,False,538,0.42,182,0.0,0,,False
CUDB,cu03,508.9,1,False,4,0.0,101,43.2,0,,False
CUDB,cu04,508.9,4,False,0,0.0,69,272.2,4,,False
CUDB,cu05,508.9,1,False,52,0.04,34,87.6,1,,False
CUDB,cu06,508.9,2,False,62,0.05,64,137.1,1,,False
CUDB,cu07,508.9,1,False,0,0.0,0,326.9,0,,False
CUDB,cu08,508.9,1,False,496,0.39,1703,82.5,0,,True
CUDB,cu09,508.9,1,False,1099,0.86,0,57.4,1,,False
CUDB,cu10,508.9,1,False,453,0.36,23,192.4,0,,False
CUDB,cu11,508.9,1,False,1282,1.01,1003,137.7,0,,True
CUDB,cu12,508.9,1,False,271,0.21,347,194.3,1,,False
CUDB,cu13,508.9,1,False,338,0.27,39,54.4,1,,False
CUDB,cu14,508.9,0,False,14,0.01,1016,0.0,0,,True
CUDB,cu15,508.9,1,True,0,0.0,84,102.9,0,,False
CUDB,cu16,508.9,2,False,79,0.06,174,111.8,2,,False
CUDB,cu17,508.9,1,False,683,0.54,374,38.5,1,,False
CUDB,cu18,508.9,1,False,0,0.0,826,26.8,1,,False
CUDB,cu19,508.9,2,True,1605,1.26,860,86.0,2,,True
CUDB,cu20,508.9,1,True,1635,1.29,930,264.7,0,,True
CUDB,cu21,508.9,5,False,2146,1.69,887,135.3,4,,True
CUDB,cu22,508.9,1,False,1018,0.8,977,110.0,1,,False
CUDB,cu23,508.9,1,False,2416,1.9,1867,102.5,1,,True
CUDB,cu24,508.9,1,False,2320,1.82,2822,67.6,1,,True
CUDB,cu25,508.9,1,False,150,0.12,409,39.0,1,,False
CUDB,cu26,508.9,2,False,7368,5.79,7932,73.7,2,,True
CUDB,cu27,508.9,1,False,2278,1.79,1747,23.2,1,,True
CUDB,cu28,508.9,1,True,0,0.0,31,12.7,0,,False
CUDB,cu29,508.9,1,True,888,0.7,433,130.7,1,,False
CUDB,cu30,508.9,3,True,7443,5.85,5494,374.0,2,,True
CUDB,cu31,508.9,1,True,200,0.16,0,14.6,0,,False
CUDB,cu32,508.9,1,False,14,0.01,172,47.3,1,,False
CUDB,cu33,508.9,1,False,234,0.18,94,88.6,1,,False
CUDB,cu34,508.9,2,False,0,0.0,1913,55.1,2,,True
CUDB,cu35,508.9,1,True,576,0.45,788,25.3,0,,False
VFDB,418,2100.0,60,False,0,0.0,0,246.1,0,0.0,True
VFDB,419,2100.0,33,False,0,0.0,3,208.5,0,0.18,True
VFDB,420,2100.0,3,False,0,0.0,3,282.1,0,1.0,False
VFDB,421,2100.0,50,False,0,0.0,3,345.5,0,0.02,True
VFDB,422,2100.0,5,False,0,0.0,4,714.8,0,0.8,False
VFDB,423,2100.0,1,False,0,0.0,0,455.6,0,1.0,False
VFDB,424,2100.0,2,False,0,0.0,3,163.5,0,1.0,False
VFDB,425,2100.0,1,False,0,0.0,0,28.8,0,1.0,False
VFDB,426,2100.0,10,False,0,0.0,3,785.2,0,0.4,False
VFDB,427,2100.0,1,False,0,0.0,0,884.5,0,0.0,False
VFDB,428,2100.0,3,False,0,0.0,0,46.2,0,0.0,False
VFDB,429,2100.0,5,False,0,0.0,7,101.4,0,0.0,False
VFDB,430,2100.0,13,True,0,0.0,0,1456.0,0,0.08,False
VFDB,602,2100.0,4,False,0,0.0,0,393.0,0,0.0,False
VFDB,605,2100.0,1,False,0,0.0,0,28.7,0,1.0,False
VFDB,607,2100.0,6,True,0,0.0,3,385.2,0,0.0,False
VFDB,609,2100.0,2,False,0,0.0,0,27.8,0,0.0,False
VFDB,610,2100.0,1,False,0,0.0,0,5.8,0,0.0,True
VFDB,611,2100.0,2,True,0,0.0,0,2099.8,0,0.0,False
VFDB,612,2100.0,1,True,0,0.0,0,392.6,0,0.0,False
VFDB,614,2100.0,1,True,0,0.0,0,676.2,0,0.0,False
VFDB,615,2100.0,5,False,0,0.0,0,34.9,0,0.0,True
