record,Normal,Dangerous,Transitional,Excluded (NOISE)
418,88.3,11.7,0.0,0.0
419,53.1,9.9,0.0,36.9
420,62.9,13.4,0.0,23.7
421,62.9,16.5,0.0,20.7
422,55.9,34.0,0.0,10.0
423,50.4,22.3,0.5,26.8
424,65.3,7.8,13.5,13.4
425,84.3,1.4,0.0,14.3
426,39.7,37.4,0.0,22.9
427,30.9,42.1,27.0,0.0
428,97.2,2.2,0.0,0.6
429,86.1,4.8,0.0,9.1
430,17.2,69.3,11.5,2.0
602,72.1,18.7,0.5,8.7
607,77.5,18.3,4.2,0.0
609,41.6,49.9,8.5,0.0
610,64.5,0.3,31.3,3.9
611,0.0,100.0,0.0,0.0
612,81.3,18.7,0.0,0.0
614,67.8,32.2,0.0,0.0
615,0.0,100.0,0.0,0.0
