record,db,start,end,label
cu06,CUDB,0,1250,Normal
cu06,CUDB,312,1562,Normal
cu06,CUDB,624,1874,Normal
cu06,CUDB,936,2186,Normal
cu06,CUDB,1248,2498,Normal
cu06,CUDB,1560,2810,Normal
cu06,CUDB,1872,3122,Normal
cu06,CUDB,2184,3434,Normal
cu06,CUDB,2496,3746,Normal
cu06,CUDB,2808,4058,Normal
cu06,CUDB,3120,4370,Normal
cu06,CUDB,3432,4682,Normal
cu06,CUDB,3744,4994,Normal
cu06,CUDB,4056,5306,Normal
cu06,CUDB,4368,5618,Normal
cu06,CUDB,4680,5930,Normal
cu06,CUDB,4992,6242,Normal
cu06,CUDB,5304,6554,Normal
cu06,CUDB,5616,6866,Normal
cu06,CUDB,5928,7178,Normal
cu06,CUDB,6240,7490,Normal
cu06,CUDB,6552,7802,Normal
cu06,CUDB,6864,8114,Normal
cu06,CUDB,7176,8426,Normal
cu06,CUDB,7488,8738,Normal
cu06,CUDB,7800,9050,Normal
cu06,CUDB,8112,9362,Normal
cu06,CUDB,8424,9674,Normal
cu06,CUDB,8736,9986,Normal
cu06,CUDB,9048,10298,Normal
cu06,CUDB,9360,10610,Normal
cu06,CUDB,9672,10922,Normal
cu06,CUDB,9984,11234,Normal
cu06,CUDB,10296,11546,Normal
cu06,CUDB,10608,11858,Normal
cu06,CUDB,10920,12170,Normal
cu06,CUDB,11232,12482,Normal
cu06,CUDB,11544,12794,Normal
cu06,CUDB,11856,13106,Normal
cu06,CUDB,12168,13418,Normal
cu06,CUDB,12480,13730,Normal
cu06,CUDB,12792,14042,Normal
cu06,CUDB,13104,14354,Normal
cu06,CUDB,13416,14666,Normal
cu06,CUDB,13728,14978,Normal
cu06,CUDB,14040,15290,Normal
cu06,CUDB,14352,15602,Normal
cu06,CUDB,14664,15914,Normal
cu06,CUDB,14976,16226,Normal
cu06,CUDB,15288,16538,Normal
cu06,CUDB,15600,16850,Normal
cu06,CUDB,15912,17162,Normal
cu06,CUDB,16224,17474,Normal
cu06,CUDB,16536,17786,Normal
cu06,CUDB,16848,18098,Normal
